category, name,desc,data-url,url,img
AI白板工具,博思白板,博思云创推出的AI多功能白板工具,https://boardmix.cn/ai-whiteboard/?code=lQWShGuAfPiX,https://ai-bot.cn/sites/1534.html,https://ai-bot.cn/wp-content/uploads/2023/04/boardmix-icon.png
AI白板工具,妙办画板,在线实时协作的画图工具，AI一键生成流程图,https://imiaoban.com/?ref=ai-bot.cn,https://ai-bot.cn/sites/24687.html,https://ai-bot.cn/wp-content/uploads/2024/10/imiaoban-logo.png
AI白板工具,小画桌,在线协作白板工具，内置AIGC功能,https://www.xiaohuazhuo.com/?ref=ai-bot.cn,https://ai-bot.cn/sites/6811.html,https://ai-bot.cn/wp-content/uploads/2023/12/xiaohuazhuo-icon.png
AI白板工具,Miro AI,在线白板协作工具推出的AI功能，Beta测试中,https://miro.com/mind-map,https://ai-bot.cn/sites/1157.html,https://ai-bot.cn/wp-content/uploads/2023/04/miro-icon.png
AI办公工具,Napkin,将文本内容快速转换成演示图像的AI办公工具,https://www.napkin.ai/?utm_source=ai-bot.cn,https://ai-bot.cn/sites/16885.html,https://ai-bot.cn/wp-content/uploads/2024/08/Napkin-logo.png
AI办公助手,飞书智能伙伴,字节旗下飞书平台推出的AI办公助手,https://www.feishu.cn/product/ai_companion?utm_source=ai-bot.cn,https://ai-bot.cn/sites/5947.html,https://ai-bot.cn/wp-content/uploads/2023/11/feishu-companion-icon-1.png
AI办公助手,钉钉斜杠“/”（即将上线）,钉钉最新集成了通义千问大模型的AI办公助手,https://page.dingtalk.com/wow/dingtalk/default/dingtalk/I0HfYX4QStBIpLgxnZQe,https://ai-bot.cn/sites/1767.html,https://ai-bot.cn/wp-content/uploads/2023/04/dingding-slash-icon.png
AI办公助手,钉钉·个人版,钉钉推出的个人版办公应用程序，内置AI智能助手，可进行AI创作、AI对话、AI绘画,https://workspace.dingtalk.com/welcome?utm_source=ai-bot.cn,https://ai-bot.cn/sites/4080.html,https://ai-bot.cn/wp-content/uploads/2023/08/dingtalk-personal-ai.png
AI办公助手,WPS AI,WPS推出的AI办公助手，已免费开放,https://ai.wps.cn/?utm_source=ai-bot.cn,https://ai-bot.cn/sites/1737.html,https://ai-bot.cn/wp-content/uploads/2023/07/wps-ai-white-icon.png
AI办公助手,ima.copilot,腾讯推出的AI智能工作台产品，基于混元大模型,https://ima.qq.com/?utm_source=ai-bot.cn,https://ai-bot.cn/sites/26420.html,https://ai-bot.cn/wp-content/uploads/2024/10/ima-logo.png
